Timestamp,In what region do you live?,How long have you been working with Ember?,Grade your knowledge of Javascript,Grade your knowledge of Ember.js,What is your development role?,I use Ember for work:,Choose the option(s) that best describe your employment situation:,What are your preferred server-side languages:,What is your preferred text editor:,Choose the option(s) that best describe your participation in the Ember community:,Which operating system(s) do you use for development?,What other framework(s) do you have experience with?,How many developers are employed at your company?,How many developers at your company work with Ember?,"In one year, how many Ember developers do you plan to employ?",Which version(s) of Ember are in use in your apps?,Which data-access libraries do you use?,"If you use Ember-Data, which version(s) are in use:",What kind of templates do you use in your Ember apps?,What build tools do you use to build your Ember apps?,What do you use to package your app modules?,What do you use for dependency management?,What is the primary language of your server side stack?,Select any of these server-side frameworks you use:,What standards do you follow for HTTP API design?,What tool(s) do you use for HTTP API design/documentation?,What testing framework(s) do you use in your Ember apps?,How old are your Ember applications?,How often do you deploy updated versions of your Ember apps?,What is the primary target platform for your Ember apps?,Who uses your application(s)?,What browser versions do your applications target?,"In one year, what browser versions do you expect to target?",Which of these best describes your use of Ember in production applications?,What is your preferred hosting provider for your Ember apps?,How much is shared between your server-side and client-side app hosting?,Which SCM do you use?,What method do you rely on for search engine indexing?,"How many addons have you written (including private, unpublished libraries)?",How many addons have you published publicly?,Are your addons unit tested?,Are your addons acceptance tested?
2/17/2015 4:59:39,Europe,9-12 months,8,8,Developer,All the time,Employee working on product,Java,Sublime,Opened an issue,Windows,Backbone,20-50,1-10,The same amount,"1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Grunt,requirejs,"Bower, npm",Java,no framework,Custom design,None,We don’t write tests,9-12 months,Monthly,Desktop & Mobile (fully responsive),Business to business consumers,"Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by tens of users,Self-hosted (dedicated infrastructure),No shared infrastructure,Git,phantomjs or other pre-rendering,0,0,None,None
2/17/2015 5:45:31,Europe,3-6 months,7,6,Developer,Some times,"Employee working on product, Employee doing consulting/client work, Independent product developer",Ruby,"Vim, Atom",Written a blog post / article,Mac OSX,"Angular, Backbone",10-20,1-10,Fewer,1.1,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",Apiary,We don’t write tests,< 3 months,Weekly,Desktop,Consumers and internal users,Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",An app that is used on a corporate intranet,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,None,None
2/17/2015 7:43:13,South America,3-6 months,8,6,Developer,Some times,"Employee working on product, Employee doing consulting/client work","Ruby, JavaScript","Sublime, Atom",None of these,"Mac OSX, Linux/Unix, Windows","Angular, Backbone",20-50,1-10,More,1.1,"Ember-Data, Custom Solution",1.0-beta.13,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember App Kit, Yeoman, Grunt","ES6 transpilation, Browserify","Bower, npm, ember-cli (bower and npm)","PHP, .NET","Rails (Ruby), Laravel (PHP), Express (Node), MVC (.NET)","JSON-API, I don't get to design my API, Custom design",None,"Ember-QUnit, Mocha",3 -6 months,Almost never,Desktop & Mobile (fully responsive),"Public Consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,"Self-hosted (dedicated infrastructure), S3 (with or without CloudFront)",Shared hardware,SVN,"App is private, behind an authentication flow, or this question generally does not apply",0,0,All,All
2/17/2015 7:50:10,Europe,> 24 months,4,5,Developer,Some times,Employee working on product,.NET,Visual Studio,Opened an issue,Windows,,1-10,1-10,The same amount,1,Custom Solution,,Standard Ember Templates (Handlebars/HTMLBars),,,,.NET,MVC (.NET),JSON-API,Swagger,We don’t write tests,> 24 months,Almost never,Desktop,Internal users only,IE 9,Modern browsers (last two versions),An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,SVN,"App is private, behind an authentication flow, or this question generally does not apply",> 6,1-3,None,None
2/17/2015 8:07:56,North America,9-12 months,8,6,Developer,Some times,Employee doing consulting/client work,"Ruby, JavaScript, Go",Vim,Opened an issue,Mac OSX,"Backbone, React, Sproutcore",1-10,1-10,More,"1.10, 1.11 Beta, Canary (master)",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby), Express (Node)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,We don’t write tests,9-12 months,Almost daily,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,VPS (cloud infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/17/2015 9:10:13,North America,18-24 months,7,8,CTO,All the time,Employee working on product,"Ruby, JavaScript, Go","Vim, TextMate","Opened an issue, Opened a PR, Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,"Backbone, React, jQuery Mobile",1-10,1-10,Fewer,"1.8, 1.9, 1.10",Ember-Data,"1.0-beta.11, 1.0-beta.12, 1.0-beta.13, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Rails asset pipeline, Ember-rails (pre-cli), Grunt",ES6 transpilation,npm,"Ruby, JavaScript, Go","Rails (Ruby), Sinatra (Ruby), Flask (Python), Koa","JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,,"< 3 months, 3 -6 months, 18-24 months","Weekly, Monthly","Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk",Public Consumers,"Mobile browsers, Modern browsers (last two versions)",Modern browsers (last two versions),An app that is used by tens of users,"S3 (with or without CloudFront), Heroku",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,None,None
2/17/2015 10:40:36,North America,> 24 months,8,8,Developer,All the time,Independent product developer,Ruby,Vim,"Opened an issue, Opened a PR, Attended a meetup / conference","Mac OSX, Linux/Unix",,1-10,1-10,The same amount,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,"Ember-QUnit, Jasmine",> 24 months,Monthly,Desktop & Mobile (fully responsive),Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,"Self-hosted (dedicated infrastructure), S3 (with or without CloudFront)",Shared data-center,Git,"Google's JavaScript execution, Our app is indexable, but I don't know how",0,0,None,None
2/17/2015 11:12:11,North America,9-12 months,7,,Developer,Some times,"Employee working on product, Employee doing consulting/client work, Independent product developer, Independent consultant","JavaScript, Java, Perl",Vim,"Opened an issue, Opened a PR","Mac OSX, Linux/Unix, Windows","Angular, Backbone, React, Meteor",10-20,1-10,The same amount,1.7,Ember-Data,1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,Browserify,ember-cli (bower and npm),JavaScript,Express (Node),Custom design,None,"Ember-QUnit, Selenium (Cucumber)",6-9 months,Less than once a month,Desktop & Mobile (fully responsive),Consumers and internal users,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,"Self-hosted (dedicated infrastructure), S3 (with or without CloudFront)",Shared data-center,Git,phantomjs or other pre-rendering,1-3,0,All,Some
2/17/2015 12:22:06,North America,12-18 months,6,6,Developer,Never,"Employee working on product, Employee doing consulting/client work",Ruby,Sublime,Attended a meetup / conference,Mac OSX,,20-50,1-10,The same amount,"1.8, 1.10",Ember-Data,1.0-beta.13,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,Ember-QUnit,6-9 months,Monthly,Desktop,Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,S3 (with or without CloudFront),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,Some,Some
2/17/2015 17:26:36,Europe,9-12 months,7,4,Developer,Never,"Employee doing consulting/client work, Independent product developer","JavaScript, .NET",Visual Studio,None of these,Windows,jQuery Mobile,More than 100,1-10,More,1.1,Ember-Model,,Standard Ember Templates (Handlebars/HTMLBars),Visual Studio,,,.NET,MVC (.NET),Custom design,,Ember-QUnit,3 -6 months,Haven’t shipped yet / Still developing,"Desktop, Mobile, Desktop & Mobile (fully responsive)","Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Prototype only,Self-hosted (dedicated infrastructure),Shared hardware,TFS,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,None,None
2/17/2015 19:08:40,North America,9-12 months,6,5,Dev-ops,Some times,"Employee working on product, Independent product developer",Java,Sublime,None of these,Windows,Backbone,More than 100,None,The same amount,1.7,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,"ES6 transpilation, Browserify","Bower, npm, ember-cli (bower and npm)",Java,Spring (Java),JSON-API,None,"Ember-QUnit, We don’t write tests",3 -6 months,Haven’t shipped yet / Still developing,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used on a corporate intranet,,,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/17/2015 19:10:51,Europe,> 24 months,8,7,Developer,All the time,"Independent product developer, Independent consultant","Ruby, JavaScript, Elixir","Vim, TextMate","Maintain a library, Written a blog post / article","Mac OSX, Linux/Unix","Backbone, jQuery Mobile",1-10,1-10,More,"pre-1.0, 1.0, 1.4, 1.8, 1.9, 1.10","Ember-Data, Orbit or Ember-Orbit, Custom Solution, ic-ajax","pre-0.13, 0.13, 1.0-beta.11, 1.0-beta.12, 1.0-beta.14",Emblem,"Ember-cli, Rails asset pipeline, Ember-rails (pre-cli), Middleman",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,"Rails (Ruby), Grape (Ruby)","JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",None,Ember-QUnit,"< 3 months, 3 -6 months, 12-18 months, > 24 months",Monthly,"Desktop, Mobile, Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,Some,Some
2/17/2015 21:37:35,North America,3-6 months,6,5,CTO,All the time,Employee working on product,"Ruby, Python",,None of these,Linux/Unix,"Angular, Backbone",1-10,1-10,More,1.8,Ember-Data,"1.0-beta.11, 1.0-beta.12",Emblem,"Ember-cli, Ember-rails (pre-cli)",ES6 transpilation,ember-cli (bower and npm),Python,"Rails (Ruby), Django (Python)",Django Rest Framework,None,Ember-QUnit,3 -6 months,Haven’t shipped yet / Still developing,"Desktop, Legacy Desktop (Point-of-sale units, embedded devices), Mobile, Cordova/Phonegap/Crosswalk",Business to business consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari",An app that is used on a corporate intranet,"Self-hosted (dedicated infrastructure), Rackspace Cloud",,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/18/2015 2:44:27,Europe,3-6 months,2,3,CTO,Never,Independent consultant,Ruby,Rubymine,None of these,Mac OSX,,1-10,None,The same amount,1.1,Ember-Data,1.0-beta.1-3,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline",ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),Custom design,None,We don’t write tests,3 -6 months,Haven’t shipped yet / Still developing,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),Exploring the idea only,VPS (cloud infrastructure),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/18/2015 3:28:49,Europe,3-6 months,4,5,Developer,Some times,Employee working on product,Python,Vim,None of these,Linux/Unix,,50-100,1-10,The same amount,1.8,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),Python,Django (Python),I don't get to design my API,None,We don’t write tests,3 -6 months,Monthly,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,,,Git,,0,0,None,None
2/18/2015 5:21:44,Asia,6-9 months,7,4,Developer,All the time,Employee working on product,"JavaScript, Java","Sublime, WebStorm, Notepad++",None of these,Windows,jQuery Mobile,20-50,1-10,Fewer,1.6,Ember-Data,1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Java,Spring (Java),JSON-API,,Ember-QUnit,18-24 months,Weekly,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9",,An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,,None,None
2/18/2015 6:55:01,Europe,< 3 months,6,1,Developer,Some times,Employee working on product,Ruby,Sublime,Attended a meetup / conference,Mac OSX,,1-10,1-10,More,1.11 Beta,Ember-Data,0.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",markdown,Ember-QUnit,< 3 months,Almost never,,Internal users only,"Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari",Exploring the idea only,Divshot,Shared hardware,Git,"Our app is indexable, but I don't know how",0,0,None,None
2/18/2015 7:13:19,North America,18-24 months,7,5,Developer,Never,Employee working on product,"Ruby, Clojure",Vim,"Opened a PR, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Linux/Unix,"Angular, Backbone, Dojo",10-20,None,,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Django (Python)",JSON-API,None,Ember-QUnit,6-9 months,Weekly,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,VPS (cloud infrastructure),Shared hardware,Git,"Our app is indexable, but I don't know how",0,0,,
2/18/2015 11:03:40,Europe,9-12 months,8,8,Developer,Some times,Employee working on product,"Ruby, JavaScript",Sublime,Opened an issue,Mac OSX,Backbone,1-10,1-10,Fewer,1.1,Custom Solution,,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt",Browserify,"Bower, npm, ember-cli (bower and npm), Browserify",JavaScript,,Custom design,None,We don’t write tests,6-9 months,Weekly,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,Heroku,Shared data-center,Git,noscript tags,0,0,All,All
2/18/2015 12:06:45,North America,3-6 months,9,6,Developer,All the time,Employee working on product,JavaScript,Sublime,None of these,Mac OSX,Backbone,50-100,1-10,The same amount,"1.8, 1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",JavaScript,"Express (Node), hapi (hapijs.com)",JSON-API,Swagger,"Mocha, Jasmine",3 -6 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Consumers and internal users,"Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,S3 (with or without CloudFront),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/18/2015 13:44:22,North America,12-18 months,9,7,Developer,All the time,Independent product developer,Ruby,Sublime,Attended a meetup / conference,Mac OSX,Backbone,1-10,1-10,More,"1.8, 1.9","Ember-Data, Custom Solution, ic-ajax","1.0-beta.11, 1.0-beta.12, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Rails asset pipeline, Ember-rails (pre-cli)",I don't know,Bower,Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",None,Ember-QUnit,"< 3 months, 3 -6 months, 12-18 months",Almost daily,"Desktop, Mobile, Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk","Public Consumers, Business to business consumers, Internal users only","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"S3 (with or without CloudFront), Heroku",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply, Google's JavaScript execution, Our app is indexable, but I don't know how",> 6,0,Some,Some
2/18/2015 14:08:34,Africa,18-24 months,8,8,Student,All the time,Independent product developer,"JavaScript, Go",Atom,introduced Ember to friends and pointed them to learning resources,Linux/Unix,"Angular, Meteor, Ionic",1-10,1-10,The same amount,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),JavaScript,"Express (Node), Restify (Node)",JSON-API,None,Ember-QUnit,"< 3 months, 6-9 months","Monthly, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"VPS (cloud infrastructure), Divshot",Shared hardware,Git,noscript tags,1-3,0,Some,Some
2/18/2015 18:28:01,Europe,Started on Sproutcore 2 (or before!),7,5,CTO,Some times,"Employee working on product, Employee doing consulting/client work","Python, PHP","WebStorm, Vim",Opened a PR,"Linux/Unix, Windows",,1-10,1-10,More,1.7,Ember-Data,1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),PHP,Laravel (PHP),JSON-API,None,Ember-QUnit,< 3 months,"Weekly, Monthly",Desktop & Mobile (fully responsive),Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used on a corporate intranet,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,Some,Some
2/18/2015 19:31:47,North America,< 3 months,7,2,Developer,Never,Employee doing consulting/client work,"Ruby, JavaScript, PHP, Java","WebStorm, IntelliJ IDEA",None of these,Mac OSX,ExtJS,10-20,None,The same amount,,,,,,,,Java,"Symphony (PHP), Spring (Java)",I don't get to design my API,None,We don’t write tests,< 3 months,,Desktop & Mobile (fully responsive),,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",,,,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/18/2015 20:48:21,North America,9-12 months,8,4,Developer,Some times,Independent consultant,Ruby,Vim,None of these,Mac OSX,,1-10,1-10,The same amount,"1.0, 1.10",Ember-Data,1.0-beta.14,"Standard Ember Templates (Handlebars/HTMLBars), Emblem","Ember-cli, None :-) :-(",Webpack,"Bower, npm, ember-cli (bower and npm)",PHP,"Rails (Ruby), Sinatra (Ruby), Grape (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,We don’t write tests,"< 3 months, 9-12 months","Less than once a month, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"VPS (cloud infrastructure), Firebase",No shared infrastructure,Git,"Google's JavaScript execution, Our app is indexable, but I don't know how",0,0,I'm not sure how to do this,I'm not sure how to do this
2/19/2015 8:12:44,North America,> 24 months,8,8,Developer,All the time,"Independent product developer, Independent consultant","Ruby, Java",Vim,"Attended a meetup / conference, Given a talk / lecture / class","Mac OSX, Linux/Unix, Windows","Angular, Backbone, React, Meteor, jQuery Mobile",1-10,1-10,More,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Gulp",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","Ruby, Java","Rails (Ruby), Spring (Java)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,"Ember-QUnit, Jasmine","12-18 months, > 24 months","Weekly, Monthly",Desktop,"Business to business consumers, Internal users only",Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,"VPS (cloud infrastructure), S3 (with or without CloudFront)",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,Some,Some
2/19/2015 8:14:10,North America,6-9 months,8,5,Developer,Some times,Employee working on product,"Ruby, Go",Atom,None of these,Mac OSX,Angular,1-10,1-10,More,"1.9, 1.10","Ember-Data, ic-ajax","1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),".NET, Go",,Custom design,None,Ember-QUnit,3 -6 months,Monthly,Desktop & Mobile (fully responsive),"Business to business consumers, Internal users only","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/19/2015 8:14:19,Europe,< 3 months,1,1,Developer,Never,"Employee working on product, Employee doing consulting/client work","Ruby, JavaScript, .NET","Sublime, WebStorm, Rubymine",None of these,"Mac OSX, Windows",,10-20,None,The same amount,Canary (master),"Ember-Data, Ember-Model",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",,"Bower, npm, ember-cli (bower and npm)","Ruby, JavaScript, .NET","Rails (Ruby), MVC (.NET)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",None,,< 3 months,Almost daily,Desktop & Mobile (fully responsive),"Public Consumers, Internal users only","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",,"VPS (cloud infrastructure), Firebase",Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/19/2015 8:19:11,Europe,9-12 months,7,6,Developer,All the time,Employee working on product,"Go, .NET",Emacs,Given a talk / lecture / class,Mac OSX,,20-50,1-10,More,1.9,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),.NET,MVC (.NET),Siren,Swagger,Ember-QUnit,6-9 months,Weekly,Desktop & Mobile (fully responsive),Business to business consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,All,All
2/19/2015 8:24:22,North America,> 24 months,9,8,Developer,Some times,Employee doing consulting/client work,Ruby,Vim,"Opened an issue, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class","Mac OSX, Linux/Unix","Angular, Backbone, Meteor",10-20,1-10,More,"1.8, 1.9, 1.10, Canary (master)","Ember-Data, ic-ajax","1.0-beta.11, 1.0-beta.12, 1.0-beta.13, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,Rails (Ruby),"HAL, JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,"Ember-QUnit, Selenium (Cucumber)",> 24 months,Weekly,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"S3 (with or without CloudFront), Heroku",No shared infrastructure,Git,Google's JavaScript execution,1-3,1-3,Some,Some
2/19/2015 8:24:53,Europe,< 3 months,7,2,Developer,All the time,Employee working on product,"Ruby, PHP",Sublime,None of these,Mac OSX,"Angular, React",1-10,1-10,The same amount,"1.9, Canary (master)","Ember-Data, Ember-Model",1.0-beta.1-3,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",I don't know,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,Ember-QUnit,12-18 months,Weekly,Desktop & Mobile (fully responsive),Business to business consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9",An app that is used by thousands of users,Heroku,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,All,All
2/19/2015 8:25:14,Europe,3-6 months,,5,Developer,Some times,Employee doing consulting/client work,Ruby,Sublime,None of these,Mac OSX,"Backbone, Meteor",1-10,None,The same amount,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,< 3 months,Haven’t shipped yet / Still developing,"Legacy Desktop (Point-of-sale units, embedded devices), Desktop & Mobile (fully responsive)",Consumers and internal users,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Prototype only,"Self-hosted (dedicated infrastructure), Heroku",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/19/2015 8:25:45,North America,12-18 months,6,9,CTO,All the time,Independent product developer,Python,Vim,"Opened a PR, Maintain a library, Written a blog post / article",Mac OSX,,1-10,1-10,More,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Python,Django (Python),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,We don’t write tests,12-18 months,Monthly,Desktop,Business to business consumers,"Modern browsers (last two versions), IE 9",Modern browsers (last two versions),An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
